"filename", "language", "C++", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "Rust", "Markdown", "vue", "MS SQL", "Shell Script", "C", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/tcp-server/package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/user/Desktop/Struct/tcp-server/parser-native.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 92
"/Users/user/Desktop/Struct/tcp-server/parser.js", "JavaScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 171
"/Users/user/Desktop/Struct/tcp-server/protocol.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 120
"/Users/user/Desktop/Struct/tcp-server/rateLimit.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 120
"/Users/user/Desktop/Struct/tcp-server/replay.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14, 98
"/Users/user/Desktop/Struct/tcp-server/server.js", "JavaScript", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 227
"/Users/user/Desktop/Struct/tcp-server/test-crypto.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 36
"/Users/user/Desktop/Struct/tcp-server/test-parser-parity.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 96
"/Users/user/Desktop/Struct/tcp-server/test-parser.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 85
"/Users/user/Desktop/Struct/tcp-server/test-protocol.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/user/Desktop/Struct/tcp-server/test-rateLimit.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/user/Desktop/Struct/tcp-server/test-replay.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 41
"/Users/user/Desktop/Struct/tcp-server/test-udp.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 86
"/Users/user/Desktop/Struct/tcp-server/test-webhooks.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 52
"/Users/user/Desktop/Struct/tcp-server/udp.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 134
"/Users/user/Desktop/Struct/tcp-server/webhooks.js", "JavaScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 196
"/Users/user/Desktop/Struct/test_device.cpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 26, 167
"/Users/user/Desktop/Struct/web/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 40
"/Users/user/Desktop/Struct/web/app/app.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/user/Desktop/Struct/web/app/assets/css/main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 12, 74
"/Users/user/Desktop/Struct/web/app/components/AppSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 9, 110
"/Users/user/Desktop/Struct/web/app/components/BulkDeviceUpload.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 20, 278
"/Users/user/Desktop/Struct/web/app/components/DeviceCredentialsModal.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 15, 143
"/Users/user/Desktop/Struct/web/app/components/DeviceList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 8, 54
"/Users/user/Desktop/Struct/web/app/components/LiveDebugger.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 18, 156
"/Users/user/Desktop/Struct/web/app/components/SchemaBuilder.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 1, 49, 574
"/Users/user/Desktop/Struct/web/app/components/StatusDot.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/user/Desktop/Struct/web/app/components/StructLogo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/user/Desktop/Struct/web/app/components/TelemetryChart.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 15, 153
"/Users/user/Desktop/Struct/web/app/composables/useAuditLogs.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/user/Desktop/Struct/web/app/composables/useBilling.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 125
"/Users/user/Desktop/Struct/web/app/composables/useBinaryParser.ts", "TypeScript", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 191
"/Users/user/Desktop/Struct/web/app/composables/useCppHeader.ts", "TypeScript", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 162
"/Users/user/Desktop/Struct/web/app/composables/useDestinations.ts", "TypeScript", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 153
"/Users/user/Desktop/Struct/web/app/composables/useDevices.ts", "TypeScript", 0, 0, 0, 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 489
