"filename", "language", "JavaScript", "JSON", "TypeScript", "Rust", "XML", "Markdown", "vue", "Shell Script", "C", "MS SQL", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/web/server/api/devices/[id].delete.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -40
"/Users/user/Desktop/Struct/web/server/api/devices/[id]/key.post.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/user/Desktop/Struct/web/server/api/devices/bulk/index.post.ts", "TypeScript", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"/Users/user/Desktop/Struct/web/server/api/devices/bulk/preview.post.ts", "TypeScript", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/Users/user/Desktop/Struct/web/server/api/devices/index.post.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/user/Desktop/Struct/web/server/api/stripe/portal.post.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"/Users/user/Desktop/Struct/web/server/api/stripe/webhook.post.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/user/Desktop/Struct/web/server/utils/deviceCapacity.test.ts", "TypeScript", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -15
"/Users/user/Desktop/Struct/web/server/utils/deviceCapacity.ts", "TypeScript", 0, 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -11, -103
"/Users/user/Desktop/Struct/web/server/utils/deviceCredentials.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"/Users/user/Desktop/Struct/web/server/utils/portal.ts", "TypeScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -7
"/Users/user/Desktop/Struct/web/server/utils/trueUpBilling.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 140
"/Users/user/Desktop/Struct/web/server/utils/usagePeriods.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 172
"/Users/user/Desktop/Struct/web/shared/flagsParser.test.ts", "TypeScript", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 148
"Total", "-", 1059, 70, 540, 204, 2, 98, 1747, 54, 86, 417, 5, -7, 111, 532, 4918
